"Country","Alcoholic Beverages","Animal fats","Animal Products","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar & Sweeteners","Sugar Crops","Treenuts","Vegetable Oils","Vegetables","Vegetal Products","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Afghanistan",0.0014,0.1973,9.4341,0,24.8097,0.2099,0.035,5.3495,1.202,7.5828,0.0728,0.2057,0.07,0.2953,0.0574,0.8802,0.3078,1.3489,0,0.077,0.5345,6.7642,40.5645,4.5,"29.8",0.00847484359392251,0.000249723989275012,0.001106671573524,0.00711844803112349,38042000,"%"
"Albania",1.6719,0.1357,18.7684,0,5.7817,0.5815,0.2126,6.7861,1.8845,15.7213,0.1123,0.2324,0.9377,0.238,8e-04,1.8096,0.1055,1.5367,0,0.1515,0.3261,11.7753,31.2304,22.3,"6.2",0.0286913925822253,0.00108467459762071,0.0199440167949615,0.00766270118964311,2858000,"%"
"Algeria",0.2711,0.0282,9.6334,0,13.6816,0.5277,0.2416,6.3801,1.1305,7.6189,0.1671,0.087,0.3493,0.4783,0.0557,4.134,0.2216,1.8342,0,0.1152,1.031,11.6484,40.3651,26.6,"3.9",0.0111459245265631,0.00108279961295673,0.00476201446804589,0.00530111044556052,43406000,"%"
"Angola",5.8087,0.056,4.9278,0,9.1085,0.0587,1.7707,6.0005,2.0571,0.8311,0.1165,0.155,0.4186,0.6507,9e-04,18.1102,0.0508,1.8495,0,0.0061,0.6463,2.3041,45.0722,6.8,"25",0.00011455118210456,6.36395456136443e-06,3.50017500875044e-05,7.3185477455691e-05,31427000,"%"
"Antigua and Barbuda",3.5764,0.0087,16.6613,0,5.996,0.2274,4.1489,10.7451,5.6888,6.3663,0.7139,0.2219,0.2172,0.184,0.1524,1.4522,0.1564,3.8749,0,0.0253,0.8102,5.4495,33.3233,19.1,NA,0.0257731958762887,0.00309278350515464,0.0164948453608247,0.00618556701030928,97000,"%"
"Argentina",4.2672,0.2234,19.3454,0,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,0,0.3779,0.0116,0.0528,0.0122,3.042,0.4378,3.0536,0,0.02,0.9541,4.3503,30.6559,28.5,"4.6",0.0111706980573667,0.00058746300540733,0.00327555130287723,0.00730768374908209,44939000,"%"
"Armenia",0.4014,0.1833,13.564,0,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,0.2355,0.304,0.0899,0.1441,0.0055,2.0359,0.1863,2.6579,0,0.1108,0.4705,16.7019,36.4358,20.9,"4.3",0.0884199864956111,0.00135043889264011,0.037508440243079,0.049561107359892,2962000,"%"
"Australia",5.5436,0.3143,21.4175,0.0033,5.4979,0.4428,1.4264,4.1883,6.7049,12.1018,0.5293,0.424,0.3694,0.0546,0.0458,2.7884,0.2928,2.5364,0,0.3176,1.2798,5.1406,28.5806,30.4,"<2.5",0.0271685437660541,0.000383323453862873,0.0236119344003161,0.00317328591187512,25305000,"%"
"Austria",7.0215,0.8555,19.5654,0.0011,6.2116,0.7884,0.7562,4.6069,4.681,12.3776,5e-04,0.1052,0.2683,0.0456,0.0494,3.0548,0.4106,2.6094,0,0.2367,0.8109,5.1098,30.4338,21.9,"<2.5",0.176298298974879,0.00682663061845218,0.151650332319477,0.0178213360369494,8877000,"%"
"Azerbaijan",3.5969,0.2544,11.6416,0,13.0898,0.5593,0.202,4.7988,2.1513,8.3212,0.0145,0.1534,0.0145,0.0347,0.0044,4.7041,0.0587,1.5523,0,0.1906,0.2235,10.0755,38.3584,19.9,"<2.5",0.0205527287239349,0.000259403372243839,0.0150453955901427,0.00524792976154844,10023000,"%"
"Bahamas",2.0175,0.0062,11.4718,9e-04,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0,0.0495,0.511,7.7649,38.5229,32.1,NA,0.022879177377892,0.00282776349614396,0.00668380462724936,0.0133676092544987,389000,"%"
