id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
27247,59,Pemerintah Negara,139616,Master,14,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,50.0,1
1640,52,Wiraswasta,158993,SMA,9,Cerai,Servis Lainnya,Perempuan,0.0,0.0,38.0,0
45206,52,Pekerja Bebas Bukan Perusahan,284648,SMA,9,Cerai,Ekesekutif Managerial,Perempuan,0.0,0.0,99.0,1
16154,45,Wiraswasta,132847,SMA,9,Belum Pernah Menikah,Pembersih,Perempuan,0.0,0.0,40.0,0
43023,28,Wiraswasta,103432,SMA,9,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,45.0,1
6240,21,Wiraswasta,188793,SMA,9,Menikah,Sales,Laki2,0.0,0.0,35.0,0
39198,58,Wiraswasta,106740,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,1
24735,60,?,141221,Sarjana,13,Menikah,?,Laki2,0.0,30282000.0,25.0,0
16686,23,Wiraswasta,216889,SMA,9,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
37411,34,?,112584,SMA,9,Berpisah,?,Perempuan,0.0,0.0,40.0,0
3362,29,Wiraswasta,136277,10th,6,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,32.0,0
38239,33,Pemerintah Negara,226296,SMA,9,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,40.0,0
33944,27,Pemerintah Lokal,352797,SMA,9,Menikah LDR,Sales,Perempuan,0.0,0.0,40.0,0
42939,41,Wiraswasta,356934,Pendidikan Tinggi,10,Menikah,Tech-support,Laki2,0.0,0.0,45.0,1
47261,61,Wiraswasta,189932,SMA,9,Menikah,Servis Lainnya,Laki2,0.0,0.0,30.0,0
19049,28,Pemerintah Lokal,335015,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
8302,26,Wiraswasta,102106,10th,6,Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
25684,25,Wiraswasta,112835,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,40.0,0
14753,56,Wiraswasta,99359,SMA,9,Cerai,Pemuka Agama,Perempuan,0.0,22638000.0,40.0,0
47935,43,Pekerja Bebas Bukan Perusahan,174295,11th,7,Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,0
1506,58,Pemerintah Negara,48433,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,0
15815,23,Wiraswasta,278254,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,45.0,0
14027,34,Wiraswasta,35644,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,1
21891,40,Wiraswasta,409922,Pendidikan Tinggi,10,Menikah,Spesialis,Laki2,102172000.0,0.0,40.0,1
14115,30,Wiraswasta,29522,Pendidikan Tinggi,10,Menikah,Sales,Perempuan,0.0,0.0,40.0,0
10552,24,Wiraswasta,283613,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,40.0,0
7239,50,Wiraswasta,121038,D4,11,Menikah,Servis Lainnya,Perempuan,0.0,0.0,40.0,0
13930,34,Wiraswasta,157747,SMA,9,Menikah,Supir,Laki2,0.0,0.0,45.0,0
5766,62,?,97231,Pendidikan Tinggi,10,Menikah,?,Perempuan,0.0,0.0,1.0,0
20206,45,Wiraswasta,474617,SMA,9,Cerai,Sales,Laki2,76370000.0,0.0,40.0,0
45312,34,Wiraswasta,123291,10th,6,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
46337,17,?,35603,11th,7,Belum Pernah Menikah,?,Perempuan,0.0,0.0,16.0,0
16701,37,Wiraswasta,238311,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,36.0,1
31135,41,Wiraswasta,36699,Pendidikan Tinggi,10,Cerai,Ekesekutif Managerial,Laki2,65100000.0,0.0,40.0,0
2071,35,Wiraswasta,103605,11th,7,Menikah,Petani,Laki2,0.0,0.0,40.0,0
24833,25,Wiraswasta,283515,Pendidikan Tinggi,10,Belum Pernah Menikah,Penjaga,Laki2,0.0,0.0,60.0,0
41201,33,Pemerintah Lokal,29144,D4,11,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
15037,46,Pekerja Bebas Bukan Perusahan,275625,Sarjana,13,Cerai,Servis Lainnya,Perempuan,0.0,0.0,60.0,1
11019,30,Wiraswasta,132565,Pendidikan Tinggi,10,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
30798,36,Wiraswasta,296999,Pendidikan Tinggi,10,Cerai,Perbaikan Kerajinan,Perempuan,0.0,0.0,37.0,0
44465,18,Wiraswasta,200290,SMA,9,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,35.0,0
9256,36,Wiraswasta,312206,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
33965,19,Wiraswasta,37688,SMA,9,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,25.0,0
25128,24,Wiraswasta,176321,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
8607,22,?,246386,SMA,9,Belum Pernah Menikah,?,Perempuan,0.0,0.0,40.0,0
8419,56,Wiraswasta,199763,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,45.0,0
11678,35,Pekerja Bebas Bukan Perusahan,278557,SMA,9,Menikah,Petani,Laki2,0.0,0.0,30.0,0
13316,37,Wiraswasta,191137,D3,12,Cerai,Spesialis,Laki2,0.0,0.0,25.0,0
40203,32,Pekerja Bebas Bukan Perusahan,27207,11th,7,Menikah,Petani,Laki2,0.0,0.0,80.0,0
9673,49,Pekerja Bebas Bukan Perusahan,355978,Sekolah Professional,15,Menikah,Spesialis,Laki2,1399986000.0,0.0,35.0,1
15627,62,Wiraswasta,167098,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,1
35122,26,Pekerja Bebas Perusahaan,79078,SMA,9,Belum Pernah Menikah,Petani,Laki2,0.0,0.0,50.0,0
29832,41,Wiraswasta,173682,D4,11,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,43.0,1
36018,24,Pemerintah Lokal,221480,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
41222,37,Pemerintah Lokal,203628,SMA,9,Menikah,Penjaga,Laki2,0.0,0.0,54.0,1
19177,23,Wiraswasta,207415,D3,12,Menikah,Sales,Perempuan,0.0,0.0,25.0,0
17704,24,Pemerintah Negara,390867,Master,14,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,40.0,0
26030,50,Wiraswasta,116933,SMA,9,Cerai,Sales,Perempuan,0.0,0.0,33.0,0
27277,33,Wiraswasta,137088,Sarjana,13,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
24423,55,Pemerintah Negara,111130,D3,12,Cerai,Pemuka Agama,Laki2,0.0,0.0,40.0,0
543,27,Wiraswasta,163862,SMA,9,Belum Pernah Menikah,Supir,Laki2,0.0,0.0,40.0,0
27280,25,Wiraswasta,114150,SMA,9,Belum Pernah Menikah,Pembersih,Laki2,0.0,0.0,40.0,0
39374,38,Wiraswasta,168355,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,48.0,0
9884,50,Pekerja Bebas Perusahaan,176751,Master,14,Cerai,Ekesekutif Managerial,Laki2,0.0,0.0,80.0,1
25285,29,Wiraswasta,126208,SMA,9,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
20591,35,Wiraswasta,361888,Pendidikan Tinggi,10,Cerai,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
3709,41,Pemerintah Lokal,343079,Sarjana,13,Menikah,Spesialis,Perempuan,0.0,24360000.0,20.0,0
44956,41,Pekerja Bebas Perusahaan,195096,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,50.0,0
22144,57,Pemerintah Provinsi,192258,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Laki2,0.0,0.0,40.0,0
1709,43,Wiraswasta,201723,Master,14,Menikah,Ekesekutif Managerial,Laki2,0.0,26628000.0,40.0,1
31046,50,Pekerja Bebas Bukan Perusahan,143730,Sarjana,13,Menikah,Petani,Laki2,0.0,0.0,80.0,0
181,43,Wiraswasta,114580,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
34938,22,Wiraswasta,185582,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,25.0,1
29105,33,Wiraswasta,241885,Pendidikan Tinggi,10,Berpisah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
40688,55,Wiraswasta,120910,SMA,9,Berpisah,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
24498,56,Wiraswasta,199713,9th,5,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,0
26722,52,Wiraswasta,260938,Master,14,Menikah,Sales,Laki2,0.0,0.0,40.0,0
25131,49,Pekerja Bebas Bukan Perusahan,215096,9th,5,Cerai,Servis Lainnya,Perempuan,0.0,0.0,20.0,0
5944,35,Wiraswasta,377798,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,50.0,1
36338,43,Wiraswasta,106900,Sarjana,13,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,0
33348,40,Pemerintah Negara,105936,Sekolah Professional,15,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,40.0,0
25355,46,Pemerintah Provinsi,199925,Sarjana,13,Cerai,Spesialis,Laki2,0.0,0.0,40.0,0
13124,23,Wiraswasta,181557,SMA,9,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,25.0,0
28840,21,Wiraswasta,27049,SMA,9,Belum Pernah Menikah,Asisten Rumah Tangga,Perempuan,0.0,0.0,25.0,0
29081,37,Pemerintah Lokal,97136,Pendidikan Tinggi,10,Menikah LDR,Pemuka Agama,Perempuan,0.0,0.0,40.0,0
23135,17,Wiraswasta,159299,11th,7,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,20.0,0
1240,35,Wiraswasta,33975,Master,14,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,45.0,1
29108,24,Wiraswasta,211585,SMA,9,Menikah,Supir,Perempuan,0.0,0.0,40.0,0
41449,43,Wiraswasta,249039,D4,11,Menikah,Spesialis,Perempuan,0.0,0.0,36.0,1
7103,32,Wiraswasta,152940,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0.0,0.0,40.0,1
46441,34,Pemerintah Provinsi,168931,Sarjana,13,Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,40.0,1
38204,73,?,378922,SMA,9,Menikah LDR,?,Perempuan,0.0,0.0,20.0,0
6738,36,Wiraswasta,218490,D3,12,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,35.0,0
24160,41,Pekerja Bebas Perusahaan,94113,Master,14,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,60.0,1
12564,64,Wiraswasta,391121,7th-8th,4,Menikah,Petani,Laki2,0.0,0.0,40.0,1
21648,69,?,168794,7th-8th,4,Menikah,?,Laki2,0.0,0.0,48.0,0
36888,56,Wiraswasta,67153,Doktor,16,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,60.0,1
21279,47,Pemerintah Lokal,183486,Sarjana,13,Menikah,Spesialis,Perempuan,0.0,0.0,50.0,1
