"Country","Alcoholic Beverages","Animal Products","Animal fats","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar Crops","Sugar & Sweeteners","Treenuts","Vegetal Products","Vegetable Oils","Vegetables","Miscellaneous","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Afghanistan",0,9.7523,0.0277,0,35.9771,0.4067,0.0647,0.5824,3.1337,5.5278,0.5916,0.2034,1.2479,0.1664,0.1941,0.5546,0,0,0.1387,40.2477,0,1.137,0.0462,4.5,"29.8",0.00847484359392251,0.000249723989275012,0.001106671573524,0.00711844803112349,38042000,"%"
"Albania",0.184,27.7469,0.0711,0,14.2331,1.8069,0.6274,1.2757,7.6582,16.475,1.1084,0.3722,1.4555,0,0.8867,0.2635,0,0.0042,0.2677,22.2552,0.0084,3.2456,0.0544,22.3,"6.2",0.0286913925822253,0.00108467459762071,0.0199440167949615,0.00766270118964311,2858000,"%"
"Algeria",0.0323,13.836,0.0054,0,26.5633,1.2916,0.635,1.1624,3.5088,8.0616,0.3283,0.183,2.5509,0.1776,1.4638,0.4628,0,0,0.2745,36.1694,0.0269,3.1267,0.1399,26.6,"3.9",0.0111459245265631,0.00108279961295673,0.00476201446804589,0.00530111044556052,43406000,"%"
"Angola",0.6285,15.2311,0.0277,0,20.3882,0.1756,5.4436,1.2754,7.6248,1.146,0.8133,2.1534,4.085,0,5.1941,0.1017,0,0.0092,0.0092,34.7782,0.0092,0.8133,0.0924,6.8,"25",0.00011455118210456,6.36395456136443e-06,3.50017500875044e-05,7.3185477455691e-05,31427000,"%"
"Antigua and Barbuda",0.1535,33.1901,0.1289,0,10.5108,0.485,8.2146,1.2586,16.067,7.4349,0.8534,0.7674,0.8841,0.3438,0.4666,0.4113,0,0,0.0737,16.8161,0.043,1.6024,0.2947,19.1,NA,0.0257731958762887,0.00309278350515464,0.0164948453608247,0.00618556701030928,97000,"%"
"Argentina",0.1704,31.9799,0.0097,0,13.6702,2.0593,1.0223,0.5209,21.625,5.8322,1.4313,0.0097,0.2434,0.0292,1.3096,0.9688,0,0.0049,0.0438,18.0176,0,1.0516,0,28.5,"4.6",0.0111706980573667,0.00058746300540733,0.00327555130287723,0.00730768374908209,44939000,"%"
"Armenia",0.0411,22.8846,0.1438,0,18.2738,1.756,0.8831,1.1142,8.5233,10.038,1.5404,0.2619,0.9191,0.0154,0.9191,0.5545,0,0.0051,0.2208,27.1154,0.0205,4.6621,0.1078,20.9,"4.3",0.0884199864956111,0.00135043889264011,0.037508440243079,0.049561107359892,2962000,"%"
"Australia",0.2914,32.9787,0.074,0.0046,10.9343,1.0916,2.8585,0.518,18.8298,8.432,1.6929,0.6984,0.2683,0.1203,0.9944,0.7031,0,0,0.7724,17.0213,0.0463,1.4524,0.2174,30.4,"<2.5",0.0271685437660541,0.000383323453862873,0.0236119344003161,0.00317328591187512,25305000,"%"
"Austria",0.615,30.0009,0.3376,0,13.1508,2.1456,1.8358,0.6242,13.6549,11.4954,0.5318,1.5028,0.2405,0.1341,1.045,0.726,0,0.0139,0.3561,19.9991,0.0647,1.5259,0,21.9,"<2.5",0.176298298974879,0.00682663061845218,0.151650332319477,0.0178213360369494,8877000,"%"
"Azerbaijan",0.3465,16.3039,0.0596,0,28.2218,1.4078,0.4873,0.5631,6.8551,6.8497,0.6444,0.0541,0.1787,0.0108,1.7652,0.2328,0,0,0.3411,33.7015,0.0217,1.9114,0.0433,19.9,"<2.5",0.0205527287239349,0.000259403372243839,0.0150453955901427,0.00524792976154844,10023000,"%"
"Bahamas",0.0325,34.1684,0.0895,0,7.8081,1.6755,5.734,1.8788,20.4311,4.8312,1.4152,0.8052,0.2765,0.244,0.366,0.4311,0,0,0.1464,15.8276,0.0325,2.6759,1.1305,32.1,NA,0.022879177377892,0.00282776349614396,0.00668380462724936,0.0133676092544987,389000,"%"
"Bangladesh",0,9.9195,0.0083,0,31.7243,0.7216,5.8306,0.3069,1.2773,1.8578,0.2239,0.5972,3.2512,0.7465,1.9574,0.1161,0.0083,0.0332,0.1078,40.0846,0,1.2026,0.0249,3.4,"14.7",0.00667758314137853,0.000111812399567414,0.00085722839668351,0.00570854234512761,163667000,"%"
"Barbados",0.1344,28.2153,0.112,0,12.3067,1.4508,6.6939,0.689,13.9872,5.3944,0.5826,1.2324,2.6608,0.3137,1.4228,0.3585,0,0,0.2465,21.7791,0.028,1.4844,0.9075,24.8,"3.9",0.0285714285714286,0.0024390243902439,0.0163763066202091,0.00975609756097561,287000,"%"
"Belarus",0.3401,27.0935,0.1328,0,13.7248,2.2901,2.4548,0.441,14.2402,6.0202,1.9554,0.5207,0.0053,0.0213,4.1552,0.3029,0,0,0.3454,22.9065,0.0213,2.8587,0.17,26.6,"<2.5",0.19383120312665,0.0011302418928911,0.0398331044681525,0.152867856765607,9467000,"%"
"Belgium",0.5466,28.4976,0.4678,0,13.7687,1.9599,2.999,0.6156,10.0507,11.9121,1.0981,0.2216,0.6993,0.1182,1.9304,0.4235,0,0.0049,0.5417,21.5098,0.1133,2.5213,0,24.5,"<2.5",0.440818641996858,0.0699598533775528,0.108579158666434,0.262279629952871,11458000,"%"
"Belize",0.201,18.9431,0.0893,0,18.6156,0.9378,2.3074,1.5035,10.748,4.5999,0.2531,1.7864,5.9918,0.0521,0.4094,0.2903,0,0,0.1265,31.0607,0.0372,1.3844,0.6624,22.4,"7.5",0.00441176470588235,0.000490196078431373,0.00392156862745098,0,408000,"%"
"Benin",0.7448,11.1646,0.0078,0,18.3955,0.225,3.6853,0.3491,5.6948,1.094,0.45,3.2508,4.275,1.6293,7.7818,0.0233,0,0,0.5741,38.8393,0,1.7457,0.0698,8.2,"10.1",0.000813490382171003,1.69477162952292e-05,0.00042369290738073,0.000372849758495043,11801000,"%"
"Bolivia",0.1826,22.6898,0.0219,0,18.0364,1.461,0.5552,0.9131,17.0794,3.2143,0.3506,0.5114,2.0747,0.1023,3.4772,0.4894,0,0,0.431,27.3139,0.0146,0.9204,0.1607,18.7,"17.1",0.0157105492589364,0.000749782040104621,0.00163034001743679,0.0133304272013949,11470000,"%"
"Bosnia and Herzegovina",0.5332,18.3339,0.0633,0,19.2578,0.7918,0.8341,0.7338,6.7096,9.3808,0.5543,0.6863,1.6998,1.3461,1.8582,0.9449,0,0.0053,0.2059,31.6634,0.0158,4.1651,0.2164,19.4,"<2.5",0.0557114228456914,0.0022616661895219,0.0260807328943601,0.0273690237618093,3493000,"%"
"Botswana",0.3682,20.29,0.1534,0,21.8932,0.3299,0.8208,0.3759,8.3615,9.3971,1.2274,1.5572,1.3194,0.4066,1.7413,0.3068,0,0,0.0384,29.71,0.0153,1.189,0.4986,16.1,"26.4",0.00100744634253176,4.38020148926851e-05,0.00035041611914148,0.000613228208497591,2283000,"%"
"Brazil",0.2807,29.0557,0.1266,0,12.1671,1.1831,1.3537,0.7759,18.7486,7.0053,0.6383,0.4788,4.7326,0.022,0.864,0.6879,0.022,0.0165,0.066,20.9443,0.022,0.8089,0,22.3,"<2.5",0.0551540137198326,0.00379206236982401,0.0230356562780655,0.0283262950719431,209332000,"%"
"Bulgaria",0.6659,24.988,0.24,0.012,17.5666,1.6079,1.3379,0.7499,11.6331,8.7833,1.3739,0.7619,0.7859,1.6319,0.6959,0.588,0,0,0.132,25.012,0.024,1.3139,0.096,27.4,"3.6",0.0244301075268817,0.00114695340501792,0.00490322580645161,0.0183799283154122,6975000,"%"
"Burkina Faso",1.366,7.1846,0.0066,0,29.1784,0.4466,1.4842,0.0591,2.975,1.7666,0.5057,5.7595,5.6019,0.0657,0.2496,0.0328,0,0,0.0854,42.8121,0,0.3809,0.0394,4.5,"20",0.00338566015451995,0.000236208847989764,0.00269671768121648,0.000452733625313715,20321000,"%"
"Cabo Verde",0.3173,18.5332,0.0649,0.0072,20.5668,1.0024,2.3004,0.649,8.4734,6.3172,0.3678,0.3534,5.2138,0.6707,1.0673,0.2885,0,0,0.0505,31.4704,0.0361,1.6875,0.5625,10.6,"12.6",0.0338181818181818,0.000363636363636364,0.00672727272727273,0.0267272727272727,550000,"%"
